trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.00299815767, 'e': 0.7589415561736336}",25,0,-22.573586293913372,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.00299815767, 'e': 0.7566695373631429}",20,0,-93.60179483857503,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.00299815767, 'e': 0.7544043202219419}",20,0,-151.5897904430016,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
95,False,"{'a': 0.00299815767, 'e': 0.752145884388093}",30,8,-147.27252591139379,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 2}",1
96,False,"{'a': 0.00299815767, 'e': 0.7498942095606154}",20,7,-89.42505732535493,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
97,False,"{'a': 0.00299815767, 'e': 0.7476492754993029}",20,0,-102.98488210067175,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
98,False,"{'a': 0.00299815767, 'e': 0.7454110620245417}",25,0,-94.77645899676581,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
99,False,"{'a': 0.00299815767, 'e': 0.7431795490171289}",25,2,-63.209191558979924,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 0}",1
100,False,"{'a': 0.00299815767, 'e': 0.7409547164180922}",20,0,-128.90884849586743,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
101,False,"{'a': 0.00299815767, 'e': 0.7387365442285085}",20,0,-144.16041841589663,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
102,False,"{'a': 0.00299815767, 'e': 0.7365250125093257}",30,0,-112.18092264272322,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.00299815767, 'e': 0.7343201013811819}",25,6,-80.58875599283843,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
104,False,"{'a': 0.00299815767, 'e': 0.7321217910242278}",30,0,-129.3894797479863,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
105,False,"{'a': 0.00299815767, 'e': 0.7299300616779478}",25,0,-93.00138997925467,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.00299815767, 'e': 0.7277448936409832}",20,0,-105.26189926447869,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
107,False,"{'a': 0.00299815767, 'e': 0.7255662672709541}",35,0,-116.11511261212254,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
108,False,"{'a': 0.00299815767, 'e': 0.7233941629842837}",30,0,-225.87205298438917,"{0: 14, 1: 1, 2: 10, 3: 3, 4: 2}",0
109,False,"{'a': 0.00299815767, 'e': 0.7212285612560217}",25,0,-94.70740964773685,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
110,False,"{'a': 0.00299815767, 'e': 0.7190694426196694}",25,0,-52.76154172780049,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.00299815767, 'e': 0.7169167876670038}",20,0,-134.60323694330384,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
112,False,"{'a': 0.00299815767, 'e': 0.7147705770479041}",25,0,-98.11738704697206,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.00299815767, 'e': 0.7126307914701772}",25,0,-120.29983525164522,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
114,False,"{'a': 0.00299815767, 'e': 0.7104974116993841}",30,0,-132.80659120369555,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
115,False,"{'a': 0.00299815767, 'e': 0.7083704185586678}",25,0,-45.752467123298885,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
116,False,"{'a': 0.00299815767, 'e': 0.7062497929285801}",20,3,-18.210135908438357,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.00299815767, 'e': 0.7041355157469104}",20,0,-62.591976730504385,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
118,False,"{'a': 0.00299815767, 'e': 0.7020275680085137}",20,0,-66.3388205313587,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.00299815767, 'e': 0.6999259307651402}",20,0,-38.89016959205137,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
120,False,"{'a': 0.00299815767, 'e': 0.6978305851252651}",20,0,-46.95833522695694,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
121,False,"{'a': 0.00299815767, 'e': 0.695741512253918}",25,0,-41.115417381236554,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.00299815767, 'e': 0.6936586933725146}",20,2,-68.29714187584632,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
